"agriculture.comp1"	"agriculture.comp2"	"industry.comp1"	"industry.comp2"	"politic.comp1"	"politic.comp2"	"superblock.comp1"	"superblock.comp2"
"Argentina"	0.805848105494	-0.173540542861891	0.217703377483392	-0.263317987257179	0.474731571211242	0.434418231678147	0.430824130091811	-0.0932908256647746
"Australia"	1.05079911422317	0.0731506940452953	1.30544522193793	-0.013311446720575	-1.07797712764244	-0.279027898626609	-1.05167806272395	-0.495835363784613
"Austria"	0.327413604197155	0.291063145912791	0.245377646258596	0.120360580400202	-0.333321245559399	0.775742302414631	-0.2062741989479	0.626237369144712
"Belgium"	-0.671260973288911	-1.09215599502091	1.44478446065973	-0.359951735664677	-0.577228494209157	-0.124963035624869	-1.66068636993117	-0.876099076070556
"Bolivia"	0.933902413183529	0.179693409741869	-1.5264094082956	-0.478896087718501	1.01091858543202	-0.426652089495146	2.054902698044	-0.378136891737268
"Brasil"	0.646117098959183	0.508128077173176	-0.616445605935931	0.179466480060114	0.175163054254797	0.920882287235302	0.830938095160628	0.869896647535713
"Canada"	-1.28251163837887	-0.055590159623936	1.60235812415481	0.052534382103032	-0.640777828232078	-0.276102542730932	-2.07862298169114	0.0254064992539966
"Chile"	1.02770239697025	0.43458967734642	-0.327826255000085	-0.546729649127782	-0.00646955710934483	0.743760511727882	0.692538731240686	0.413481227890403
"Colombia"	0.676481768644591	0.362185437458904	-0.413726181172855	0.237593239651412	0.514415944073154	0.458296917889412	0.863920311069942	0.501616053611581
"CostaRica"	0.762858747867379	0.831037209650961	-0.453740189887082	0.197989300972809	0.178679330317317	0.628224754245831	0.762911283171626	0.898430812972129
"Cuba"	0.63147602481805	-0.540051878318572	-0.16991857184476	0.0941113271430858	1.13001740906099	-0.660148938946127	0.972097778989958	-0.894081879420107
"Denmark"	-1.67030342987102	0.179490952689884	0.789165063570808	0.188275136042714	-1.02538016305891	-0.202374538383277	-1.83710501633244	0.409422993563969
"DominicanRepublic"	0.601558765474471	0.01289709349187	-0.702356920153679	-0.0195765320741867	0.359495137669805	-0.387201321089267	0.967958520156378	-0.353780181015298
